Time (JD),Relative Flux,Relative Flux Error
2458888.477,0.9993397,0.001770114
2458888.478,1.001222,0.001766786
2458888.479,1.0001547,0.001768671
2458888.481,1.0001884,0.001768612
2458888.482,0.9995363,0.001769766
2458888.484,1.0006156,0.001767857
2458888.485,0.9999742,0.001768991
2458888.486,0.9997731,0.001769347
2458888.488,1.0004766,0.001768102
2458888.489,0.9999246,0.001769079
2458888.49,1.0004506,0.001768148
2458888.492,0.9998326,0.001769241
2458888.493,0.99895406,0.001770797
2458888.495,0.9990057,0.001770706
2458888.496,0.9997844,0.001769327
2458888.497,1.0002743,0.00176846
2458888.499,1.0003841,0.001768266
2458888.5,0.9996626,0.001769542
2458888.502,1.0002279,0.001768542
2458888.503,0.99968904,0.001769495
2458888.504,0.99985284,0.001769206
2458888.506,1.0005522,0.001767969
2458888.507,1.0000955,0.001768776
2458888.509,0.99962103,0.001769616
2458888.51,1.0000577,0.001768843
2458888.511,1.0003376,0.001768348
2458888.513,1.0004048,0.001768229
2458888.514,1.0001534,0.001768674
2458888.515,1.000781,0.001767565
2458888.517,1.0000492,0.001768858
2458888.518,0.99920154,0.001770359
2458888.52,1.0004277,0.001768189
2458888.521,1.0000408,0.001768873
2458888.522,1.000036,0.001768882
2458888.524,0.9997011,0.001769474
2458888.525,0.9999791,0.001768982
2458888.527,0.99889,0.001770911
2458888.528,1.0000274,0.001768897
2458888.529,0.9986382,0.001771357
2458888.531,1.0000303,0.001768892
2458888.532,1.0001713,0.001768642
2458888.534,0.9996516,0.001769562
2458888.535,1.000113,0.001768745
2458888.536,0.9997376,0.001769409
2458888.538,1.0002037,0.001768585
2458888.539,0.9999796,0.001768981
